Nombre proveedor;Monto;porcentaje_del_total
CORREO OFICIAL DE LA REPÚBLICA ARGENTINA S.A..;20770.00925768;9.083665255998357
YPF SA;8430.45807775;3.6870209436566355
NACION SEGUROS S.A.;7443.28551386;3.2552856945754787
Editorial Estrada S.A.;4510.73058269;1.9727466735721209
ESTACION MANDIOCA SA;3913.87368785;1.7117141352040195
coordinación ecológica área metropolitana sociedad del estado;3699.4406394300004;1.6179328562693305
ARTE GRAFICO EDITORIAL ARGENTINO SA;3463.4692620100004;1.514731891075367
Universidad Tecnológica Nacional;3422.298919;1.4967262363961717
LA MANTOVANA DE SERVICIOS GENERALES S.A.;3163.11451509;1.3833731639210904
Kapelusz Editora S.A.;2965.0286495299997;1.29674124804814
Gador S.A.;2896.9002555;1.26694561733274
LONGSELLER S.A.;2784.0218384299997;1.2175787758176493
Ediciones Santillana S.A.;2681.2994774699996;1.1726536373793288
FUNDACION EDELVIVES;2612.5260262799998;1.1425758939676975
GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES;2016.8731326200002;0.8820699198178048
SERVICIOS INTEGRALES FOOD AND CATERING SRL;1894.83631932;0.8286976970530956
MSD ARGENTINA SRL;1883.94987528;0.8239365622716581
COMPAÑIA INTEGRAL DE ALIMENTOS S.A..;1793.54568564;0.7843987177651178
TEYLEM S.A.;1732.8987993;0.7578750890321437
FABRICACIONES MILITARES SOCIEDAD DEL ESTADO;1676.08608331;0.7330283165567563
Indra SI S.A.;1654.74420685;0.7236945478861512
UNIVERSIDAD NACIONAL DE GRAL SAN MARTIN;1640.3447122;0.7173969970457358
Buswagen SA;1615.19703803;0.7063987807573762
TALLERES NAVALES DARSENA NORTE S A C I Y N TANDANOR SACI Y N;1477.21545652;0.6460531890737018
UNIVERSIDAD DE BUENOS AIRES;1433.4113488399998;0.6268956698802186
Sociedad del Estado Casa de Moneda;1398.6787833699998;0.6117055467417387
EMPRESA ARGENTINA DE SOLUCIONES SATELITALES S.A. AR-SAT;1320.8942683999999;0.5776868572302543
IGARRETA S.A.C.I.;1292.39936295;0.5652247451821621
"FÁBRICA ARGENTINA DE AVIONES ""BRIG. SAN MARTÍN"" S.A..";1191.43829729;0.5210699009080699
NUCTECH COMPANY LTD SUCURSAL ARGENTINA;1152.3453;0.5039727635486003
AIQUE GRUPO EDITOR S.A.;1144.9239198;0.5007270580393759
TELECOM ARGENTINA S.A.;1103.95626062;0.48281004617404194
DROGUERIA DEL SUD S.A.;1077.662;0.4713103757279279
Abbvie S.A.;1016.62812812;0.44461750070042105
EDICIONES COLIHUE SRL;1010.3416797000001;0.44186815223418174
LINSER SACIS;991.05882404;0.4334348865662617
LOTERIA DE LA CIUDAD DE BUENOS AIRES SOCIEDAD DEL ESTADO;984.0;0.43034774327783754
ENERGIA DE ENTRE RÍOS SOCIEDAD ANONIMA ( ENER SA);946.28099926;0.41385151680715254
Automotores Haedo SA;904.582377;0.3956148216980204
UNIVERSIDAD NACIONAL DE LA MATANZA;897.64253004;0.39257971247248225
Dinatech S.A.;882.5738155;0.3859894814802191
UNIVERSIDAD NACIONAL DE TRES DE FEBRERO;872.64631007;0.3816477339617445
BANCO DE LA NACIÓN ARGENTINA;840.45939512;0.3675709390310451
POLICIA FEDERAL ARGENTINA;814.54938465;0.35623931856959223
CODYAR SRL;805.6148251600001;0.3523318312589184
Datastar Argentina S.A.;786.26796215;0.34387057227938694
REX ARGENTINA S.A.;755.6997735599999;0.33050171966170616
LECTUS S.A;744.9423156800001;0.32579699636692533
BIODIAGNOSTICO S.A.;744.5678499500001;0.3256332255520469
UNIVERSIDAD NACIONAL DE LA PLATA;723.59302213;0.3164599838671096
TNGROUP S.A.;720.7465024400001;0.3152150719516753
MEDI SISTEM SRL;704.37498175;0.30805506485516315
JANSSEN CILAG FARMACEUTICA S.A.;700.106808;0.30618839926448205
Pfizer S.R.L.;692.8236053399999;0.3030031250484595
NOVARTIS ARGENTINA SA;689.15695196;0.30139953154493815
Grace María del Pilar Moncayo Ortega;646.4758874099999;0.2827331699496249
Adea Administradora de Archivos S.A.;619.75397155;0.27104646650815006
SUIZO ARGENTINA S.A.;615.66815816;0.26925955535790524
PROVEEDURIA INTEGRAL MC S.R.L.;613.9746;0.26851888571129373
SOFLEX SA;598.0;0.26153247000014923
SES S.A.;590.12877851;0.2580900285315908
CONSTRUCCION DE VIVIENDA PARA LA ARMADA-COVIARA;581.7359988300001;0.25441948605687936
Letra Impresa SRL;575.3100701799999;0.2516091365721314
Ascentio Technologies SA;570.5;0.24950547514228286
GOYA CORRIENTES SRL;566.337708;0.2476851164338851
CONTROL ECOLOGICO SA;551.05732704;0.24100231413453385
Caballito Cars S.A.;542.06375;0.2370690157776646
Ediba Libros S.A;537.604938;0.23511897545053026
Ente de Promoción Industrial Buenos Aires Morón Parque Industrial La Cantábrica;533.486;0.23331757740886225
LZR Ediciones S.R.L.;525.729385;0.22992525854633683
A Z EDITORA S.A.;521.7888702;0.22820189304681152
VALERIA VIVIANA CHIALVO;511.626468;0.22375741453761255
CODYELA S.A;510.495;0.2232625723624184
LYME S.A.;510.177672;0.22312379046335448
OCA LOG S.A.;495.644;0.216767557793903
FIDEICOMISO CHILE 758;494.91060258000005;0.2164468099030262
PEPAN S.A.;489.95513;0.21427955742164584
Ente de Cooperacion Tecnica y Financiera del Servicio Penitenciario Federal;475.40920219;0.20791796473169075
Grupo Nucleo S.A;475.25357881;0.20784990358292624
SERVICIOS EMISER S.A.;473.11336702;0.20691389208499625
RAMON CHOZAS S.A.;472.375;0.20659097076307775
ERGOMETAL S.R.L.;462.90243325;0.20244818852333063
EXSA SRL;461.38026935000005;0.20178247734521682
Editorial Universitaria de Buenos Aires S.E.M.;457.22911356000003;0.19996698900556112
SARAH SA;448.8;0.1962805560803796
BGH TECH PARTNER S.A.;438.92949957;0.1919637394288822
Ingenieros Electronicos Asociados S.R.L.;428.99062416000004;0.1876170193034624
Torello Hermanos S.A..;419.916807;0.18364862830984274
LABORATORIOS JAYOR S.R.L;418.853488;0.18318359077728744
Filip SA;414.568926;0.18130975786302522
QUIMICA EROVNE S.A.;412.644997;0.18046833661975614
Toyota Argentina S.A.;412.13109686;0.18024358482552938
COOPERATIVA DE TRABAJO SOLUCIONAR LIMITADA;411.8083318;0.18010242505400506
J.J. GONZALEZ S.A.;404.37124993000003;0.17684985249371335
OTOBA S.A.;398.850456;0.17443535939526061
Teresa Eggers Brass;398.7094375;0.17437368562164737
AURELIA SACIF;396.87804784;0.17357273602079032
Melenzane S.A;395.16266865;0.172822523049975
D.S. SAFETY S.A.;391.24799471000006;0.17111045892828036
Imprenta del Congreso de la Nacion;384.64944;0.16822461225313415
