Nombre descriptivo de proceso;Monto;porcentaje_del_total
Convenio Interadministrativo con CORASA para elecciones PASO y Generales Legislativas 2021;5448.90290769;2.383051900065486
CONVENIO POR LOGÍSTICA GENERAL CON CORREO OFICIAL DE LA REPÚBLICA ARGENTINA;4500.0;1.968053704014501
Concesión de Uso para la Gestión Integral de los Residuos Sólidos Urbanos - CEAMSE;3679.2;1.6090807084022563
Libros para Aprender 1er Ciclo, 2do Ciclo y 7mo Grado por exclusividad con EDITORIAL ESTRADA SA;3413.34871634;1.4928119076191289
Libros p/Aprender 1er Ciclo, 2do Ciclo y 7mo grado exclusividad ARTE GRAFICO EDITORIAL ARGENTINO S.A;2823.18351771;1.2347059509204121
Adq. libros para Aprender 1er Ciclo, 2Do Ciclo y 7mo Grado por exclusividad con LONGSELLER S.A.;2777.87822543;1.2148918957463868
CONVENIO DE PRESTACIÓN DE SERVICIOS DE LOGÍSTICA - CORREO OFICIAL DE LA REPÚBLICA ARGENTINA S.A.;2552.449;1.1163014908351354
Libros escolares ciclo 1°, 2° y 7° grado Educación Primaria por exclusividad EDIC. SANTILLANA S.A.;2524.93151873;1.1042668506265636
Transmisión de telegramas de mesa de las Elecciones Nacionales del año 2021.;2496.2144873400002;1.0917075928498103
Libros para Aprender 1er Ciclo, 2do Ciclo y 7mo Grado por exclusividad con ESTACION MANDIOCA S.A.;2002.2912093599998;0.8756925846881383
Adquisición de libros Educación Secundaria por exclusividad con ESTACION MANDIOCA S.A;1892.5331267899999;0.8276904066998233
Adquisición de Raltegravir 100 y 400 miligramos;1768.4964;0.7734435312347357
Recuento Provisional de Resultados elecciones PASO y Generales 2021;1594.70234;0.6974355215639094
Adquisición de libros Educación Secundaria por exclusividad con KAPELUSZ EDITORA S.A.;1482.8919106199999;0.6485357594108514
Adquisición Elexacaftor 100mg / Tezacaftor 50mg / Ivacaftor 75mg + Ivacaftor 150mg comprimidos;1372.14;0.6000989354281017
Libros para Aprender 1er Ciclo, 2do Ciclo y 7mo Grado por exclusividad con la firma ELDELVIVES;1323.08945847;0.5786469132187608
Libros para Aprender 1er Ciclo, 2do Ciclo y 7mo Grado por exclusividad con la firma KAPELUSZ EDITORA;1319.3658539100002;0.5770184123861847
Adquisición libros de texto Educación Secundaria por exclusividad con FUNDACIÓN EDELVIVES;1277.03232831;0.5585040453059462
GAS OIL NAVAL - Sostén Logístico Antártico;1221.57;0.5342478584917765
Convenio Interadministrativo (ANSES-CORASA) - Servicio de Pago de Prestaciones de la Seguridad Socia;1180.885836;0.5164548319017912
Adquisición de libros de textos Educación Secundaria - EDITORIAL ESTRADA SA;1092.2993781;0.47771196376943137
Adquisición de Métodos Anticonceptivos Hormonales Orales;1077.662;0.4713103757279279
Libros para Aprender 1er Ciclo, 2do Ciclo y 7mo Grado por exclusividad con Aique Grupo Editor SA;1054.08205227;0.460997797178929
Convenio SEC - UTN;1008.0;0.44084402969924824
Concesión de Uso del inmueble sito en la calle Santiago del Estero N° 126/140/144/148 C.A.B.A.;984.0;0.43034774327783754
Contratación Servicio de Racionamiento;978.57600912;0.4279755865351876
PROVISIÓN E INSTALACIÓN DE ENLACES DE TELECOMUNICACIONES Y ELEMENTOS ASOCIADOS;965.04968776;0.4220599139009124
CONTRATACIÓN DE SERVICIO DE MANTENIMIENTO DE LUMINARIAS EN CRUCES DE RUTAS NACIONALES.;945.1192358999999;0.4133434250996333
Libros escolares ciclo 1°, 2° y 7° grado Educación Primaria por exclusividad EDICIONES COLIHUE SRL;942.8289799500001;0.4123417924984025
